"WL(nm)","Spectrum","Spectrum(W/nm)",
"476.8","0.3161","3.6665e-004",
"477.0","0.3141","3.6431e-004",
"477.2","0.3124","3.6232e-004",
"477.4","0.3109","3.6066e-004",
"477.6","0.3098","3.5932e-004",
"477.8","0.3085","3.5783e-004",
"478.0","0.3068","3.5587e-004",
"478.2","0.3051","3.5396e-004",
"478.4","0.3036","3.5217e-004",
"478.6","0.3022","3.5056e-004",
"478.8","0.3009","3.4903e-004",
"479.0","0.2995","3.4745e-004",
"479.2","0.2981","3.4578e-004",
"479.4","0.2963","3.4368e-004",
"479.6","0.2944","3.4154e-004",
"479.8","0.2936","3.4056e-004",
"480.0","0.2933","3.4023e-004",
"480.2","0.2923","3.3904e-004",
"480.4","0.2908","3.3731e-004",
"480.6","0.2896","3.3595e-004",
"480.8","0.2886","3.3482e-004",
"481.0","0.2877","3.3368e-004",
"481.2","0.2867","3.3251e-004",
"481.4","0.2854","3.3102e-004",
"481.6","0.2841","3.2951e-004",
"481.8","0.2832","3.2847e-004",
"482.0","0.2825","3.2766e-004",
"482.2","0.2820","3.2710e-004",
"482.4","0.2814","3.2644e-004",
"482.6","0.2804","3.2528e-004",
"482.8","0.2794","3.2405e-004",
"483.0","0.2785","3.2300e-004",
"483.2","0.2777","3.2217e-004",
"483.4","0.2773","3.2168e-004",
"483.6","0.2768","3.2112e-004",
"483.8","0.2760","3.2012e-004",
"484.0","0.2752","3.1921e-004",
"484.2","0.2746","3.1850e-004",
"484.4","0.2741","3.1789e-004",
"484.6","0.2735","3.1722e-004",
"484.8","0.2728","3.1647e-004",
"485.0","0.2721","3.1566e-004",
"485.2","0.2716","3.1504e-004",
"485.4","0.2712","3.1463e-004",
"485.6","0.2709","3.1421e-004",
"485.8","0.2706","3.1385e-004",
"486.0","0.2703","3.1350e-004",
"486.2","0.2701","3.1326e-004",
"486.4","0.2700","3.1314e-004",
"486.6","0.2699","3.1306e-004",
"486.8","0.2696","3.1271e-004",
"487.0","0.2692","3.1229e-004",
"487.2","0.2690","3.1207e-004",
"487.4","0.2690","3.1202e-004",
"487.6","0.2689","3.1191e-004",
"487.8","0.2688","3.1181e-004",
"488.0","0.2687","3.1164e-004",
"488.2","0.2685","3.1148e-004",
"488.4","0.2686","3.1162e-004",
"488.6","0.2688","3.1183e-004",
"488.8","0.2690","3.1200e-004",
"489.0","0.2691","3.1217e-004",
"489.2","0.2693","3.1243e-004",
"489.4","0.2694","3.1251e-004",
"489.6","0.2689","3.1194e-004",
"489.8","0.2686","3.1161e-004",
"490.0","0.2690","3.1200e-004",
"490.2","0.2695","3.1266e-004",
"490.4","0.2702","3.1340e-004",
